feature,importance
f_4988,0.00053252385
f_5476,0.00053187314
f_1869,0.00053184223
f_761,0.00053147995
f_5952,0.0005289144
f_4143,0.0005286894
f_2171,0.0005285055
f_1160,0.00052849745
f_565,0.0005277225
f_467,0.00052753265
f_3043,0.00052739267
f_5880,0.000527156
f_914,0.00052662566
f_5396,0.0005261271
f_5619,0.0005261151
f_5627,0.0005259068
f_42,0.0005258658
f_4726,0.00052550866
f_2198,0.00052526785
f_706,0.00052526465
f_217,0.0005245791
f_1053,0.0005242135
f_1272,0.00052410737
f_234,0.00052381656
f_5722,0.0005201893
f_1269,0.0005196955
f_842,0.0005188434
f_2231,0.0005185631
f_2102,0.0005179273
f_783,0.0005164387
f_3479,0.0005164356
f_1229,0.00051624177
f_6158,0.0005162291
f_2791,0.0005146268
f_255,0.00051450887
f_4284,0.00051377283
f_2217,0.00051317137
f_1629,0.0005126824
f_1730,0.0005118971
f_5438,0.000511637
f_4803,0.00051144336
f_4378,0.00051030726
f_3298,0.000509579
f_5927,0.00050948473
f_6159,0.00050886814
f_5373,0.00050883356
f_6087,0.0005087143
f_131,0.00050698785
f_1189,0.00050617306
f_3580,0.00050538074
f_1437,0.0005048884
f_1717,0.00050339353
f_3140,0.00050260103
f_2145,0.0005024029
f_2122,0.00050226325
f_5817,0.0005007553
f_3845,0.0004987166
f_745,0.00049832405
f_2702,0.000498211
f_2317,0.0004981786
f_518,0.0004981519
f_6185,0.0004980555
f_2042,0.0004979921
f_130,0.0004975238
f_5637,0.0004973432
f_282,0.00049683865
f_2523,0.000495127
f_3280,0.000494706
f_4482,0.0004946156
f_388,0.00049442163
f_4884,0.000494001
f_3474,0.0004939844
f_3878,0.0004934197
f_1014,0.0004933954
f_2444,0.0004920812
f_3164,0.0004913032
f_630,0.00048848096
f_6162,0.00048829097
f_1028,0.00048800476
f_280,0.00048708316
f_5673,0.00048595006
f_6101,0.00048564767
f_4416,0.00048552157
f_5639,0.00048542707
f_2067,0.00048531353
f_515,0.00048510433
f_4849,0.00048474583
f_323,0.00048428317
f_4352,0.00048424012
f_424,0.00048382828
f_4258,0.00048325406
f_6138,0.00048317935
f_4033,0.00048286724
f_3834,0.0004825897
f_2278,0.00048108844
f_1004,0.0004809357
f_2354,0.0004803115
f_519,0.00047965426
f_5459,0.00047899043
f_6091,0.00047867085
f_3014,0.00047849878
f_5551,0.00047818897
f_6090,0.00047769866
f_6121,0.00047626247
f_4028,0.00047579047
f_5812,0.00047554693
f_97,0.000475076
f_5142,0.00047446348
f_5118,0.0004744265
f_3430,0.0004744202
f_6082,0.00047379098
f_6096,0.00047273966
f_4485,0.00047249277
f_4473,0.00047241346
f_2511,0.0004722752
f_96,0.00047201972
f_4607,0.00047196055
f_1907,0.000471656
f_4177,0.00047118368
f_1742,0.00047046665
f_1477,0.00047040873
f_520,0.00047014168
f_101,0.0004698856
f_3290,0.0004695092
f_243,0.00046917406
f_6122,0.00046900555
f_6204,0.00046852717
f_200,0.0004684827
f_3069,0.00046834227
f_5791,0.0004672902
f_982,0.00046725565
f_1503,0.00046626464
f_5210,0.00046585238
f_5235,0.00046544397
f_2876,0.00046525692
f_6110,0.0004650118
f_5314,0.0004642066
f_1205,0.00046414364
f_5293,0.00046191263
f_2598,0.00046114228
f_235,0.00046100636
f_4130,0.00046073287
f_332,0.00046035327
f_6174,0.0004603363
f_3791,0.00046010406
f_4782,0.00046006113
f_4746,0.0004598005
f_4395,0.00045938275
f_1074,0.0004590409
f_3074,0.00045881336
f_1913,0.0004568657
f_572,0.00045682318
f_5894,0.00045682275
f_5315,0.00045676736
f_3731,0.0004563094
f_2344,0.00045591017
f_4598,0.00045576008
f_1293,0.0004534958
f_4427,0.0004534872
f_4990,0.00045318637
f_1982,0.00045182524
f_1859,0.00045172032
f_634,0.00045158376
f_2768,0.00045143501
f_4381,0.00045142724
f_4505,0.0004513945
f_6098,0.00045131517
f_5221,0.00045101964
f_3813,0.00045096548
f_590,0.00045084007
f_4214,0.00045035
f_4560,0.00044974076
f_5871,0.00044949452
f_2203,0.00044946175
f_4324,0.00044859474
f_1928,0.0004482935
f_5386,0.00044792893
f_5774,0.00044784223
f_4439,0.00044747003
f_373,0.0004473455
f_4154,0.0004473072
f_175,0.0004467442
f_947,0.00044653294
f_4407,0.0004448947
f_477,0.0004446018
f_3790,0.0004444521
f_4543,0.00044415783
f_4966,0.00044338906
f_5076,0.00044220712
f_3161,0.0004419744
f_3040,0.00044195267
f_4196,0.00044195005
f_4882,0.00044128342
f_3136,0.00044078374
f_6140,0.00043981036
f_5033,0.00043963676
f_2703,0.0004393157
f_86,0.00043930107
f_2284,0.00043884254
f_331,0.00043823314
f_1141,0.00043738564
f_690,0.0004370647
f_3170,0.0004360968
f_3244,0.000435779
f_1393,0.00043576336
f_6173,0.0004351162
f_6002,0.00043509295
f_325,0.0004349346
f_1292,0.00043483934
f_4355,0.00043474825
f_4342,0.00043456658
f_5546,0.0004337937
f_4683,0.00043374926
f_2462,0.00043261188
f_628,0.00043254334
f_1944,0.00043248394
f_1669,0.00043242937
f_1763,0.0004323863
f_387,0.00043222142
f_6107,0.00043176577
f_2914,0.00043139278
f_5059,0.00043135355
f_4488,0.00043115878
f_528,0.00043111364
f_3096,0.00043107072
f_722,0.00043043998
